id,bpm,accuracy,time_ms,time_iso,synced
103,86.0,3,1783267733325,2026-07-05T23:08:53.325,1
104,86.0,3,1783267734376,2026-07-05T23:08:54.376,1
105,86.0,3,1783267735326,2026-07-05T23:08:55.326,1
106,86.0,3,1783267736385,2026-07-05T23:08:56.385,1
107,86.0,3,1783267737381,2026-07-05T23:08:57.381,1
108,87.0,3,1783267738383,2026-07-05T23:08:58.383,1
109,87.0,3,1783267739383,2026-07-05T23:08:59.383,1
110,88.0,3,1783267740369,2026-07-05T23:09:00.369,1
111,89.0,3,1783267741391,2026-07-05T23:09:01.391,1
112,90.0,3,1783267742385,2026-07-05T23:09:02.385,1
113,90.0,3,1783267743385,2026-07-05T23:09:03.385,1
114,89.0,3,1783267744398,2026-07-05T23:09:04.398,1
115,88.0,3,1783267745394,2026-07-05T23:09:05.394,1
116,88.0,3,1783267746329,2026-07-05T23:09:06.329,1
117,87.0,3,1783267747331,2026-07-05T23:09:07.331,1
118,86.0,3,1783267748333,2026-07-05T23:09:08.333,1
119,85.0,3,1783267749333,2026-07-05T23:09:09.333,1
120,84.0,3,1783267750332,2026-07-05T23:09:10.332,1
121,82.0,3,1783267751332,2026-07-05T23:09:11.332,1
122,82.0,3,1783267752333,2026-07-05T23:09:12.333,1
123,81.0,3,1783267753328,2026-07-05T23:09:13.328,1
124,81.0,3,1783267754332,2026-07-05T23:09:14.332,1
125,81.0,3,1783267755325,2026-07-05T23:09:15.325,1
126,81.0,3,1783267756327,2026-07-05T23:09:16.327,1
127,81.0,3,1783267757327,2026-07-05T23:09:17.327,1
128,81.0,3,1783267758326,2026-07-05T23:09:18.326,1
129,81.0,3,1783267759325,2026-07-05T23:09:19.325,1
130,81.0,3,1783267760327,2026-07-05T23:09:20.327,1
131,81.0,3,1783267761327,2026-07-05T23:09:21.327,1
132,82.0,3,1783267762329,2026-07-05T23:09:22.329,1
133,82.0,3,1783267763327,2026-07-05T23:09:23.327,1
134,82.0,3,1783267764326,2026-07-05T23:09:24.326,1
135,83.0,3,1783267765328,2026-07-05T23:09:25.328,1
136,83.0,3,1783267766327,2026-07-05T23:09:26.327,1
137,84.0,3,1783267767331,2026-07-05T23:09:27.331,1
138,84.0,3,1783267768325,2026-07-05T23:09:28.325,1
139,84.0,3,1783267769325,2026-07-05T23:09:29.325,1
140,83.0,3,1783267770325,2026-07-05T23:09:30.325,1
141,83.0,3,1783267771325,2026-07-05T23:09:31.325,1
142,84.0,3,1783267772325,2026-07-05T23:09:32.325,1
143,85.0,3,1783267773327,2026-07-05T23:09:33.327,1
144,85.0,3,1783267774324,2026-07-05T23:09:34.324,1
145,86.0,3,1783267775324,2026-07-05T23:09:35.324,1
146,86.0,3,1783267776324,2026-07-05T23:09:36.324,1
147,86.0,3,1783267777324,2026-07-05T23:09:37.324,1
148,85.0,3,1783267778324,2026-07-05T23:09:38.324,1
149,85.0,3,1783267779324,2026-07-05T23:09:39.324,1
150,85.0,3,1783267780325,2026-07-05T23:09:40.325,1
151,85.0,3,1783267781324,2026-07-05T23:09:41.324,1
152,85.0,3,1783267782324,2026-07-05T23:09:42.324,1
153,86.0,3,1783267783327,2026-07-05T23:09:43.327,1
154,86.0,3,1783267784325,2026-07-05T23:09:44.325,1
155,85.0,3,1783267785325,2026-07-05T23:09:45.325,1
156,85.0,3,1783267786328,2026-07-05T23:09:46.328,1
157,85.0,3,1783267787326,2026-07-05T23:09:47.326,1
158,85.0,3,1783267788328,2026-07-05T23:09:48.328,1
159,84.0,3,1783267789324,2026-07-05T23:09:49.324,1
160,84.0,3,1783267790326,2026-07-05T23:09:50.326,1
161,84.0,3,1783267791326,2026-07-05T23:09:51.326,1
162,85.0,3,1783267792326,2026-07-05T23:09:52.326,1
163,85.0,3,1783267793325,2026-07-05T23:09:53.325,1
164,86.0,3,1783267794326,2026-07-05T23:09:54.326,1
165,87.0,3,1783267795328,2026-07-05T23:09:55.328,1
166,88.0,3,1783267796327,2026-07-05T23:09:56.327,1
167,89.0,3,1783267797325,2026-07-05T23:09:57.325,1
168,89.0,3,1783267798325,2026-07-05T23:09:58.325,1
169,88.0,3,1783267799325,2026-07-05T23:09:59.325,1
170,88.0,3,1783267800327,2026-07-05T23:10:00.327,1
171,88.0,3,1783267801325,2026-07-05T23:10:01.325,1
172,87.0,3,1783267802325,2026-07-05T23:10:02.325,1
173,87.0,3,1783267803326,2026-07-05T23:10:03.326,1
174,88.0,3,1783267804326,2026-07-05T23:10:04.326,1
175,88.0,3,1783267805325,2026-07-05T23:10:05.325,1
176,88.0,3,1783267806325,2026-07-05T23:10:06.325,1
177,88.0,3,1783267807325,2026-07-05T23:10:07.325,1
178,87.0,3,1783267808325,2026-07-05T23:10:08.325,1
179,87.0,3,1783267809325,2026-07-05T23:10:09.325,1
180,86.0,3,1783267810325,2026-07-05T23:10:10.325,1
181,85.0,3,1783267811326,2026-07-05T23:10:11.326,1
182,85.0,3,1783267812338,2026-07-05T23:10:12.338,1
183,85.0,3,1783267813339,2026-07-05T23:10:13.339,1
184,85.0,3,1783267814336,2026-07-05T23:10:14.336,1
185,85.0,3,1783267815337,2026-07-05T23:10:15.337,1
186,85.0,3,1783267816332,2026-07-05T23:10:16.332,1
187,85.0,3,1783267817334,2026-07-05T23:10:17.334,1
188,85.0,3,1783267818336,2026-07-05T23:10:18.336,1
189,86.0,3,1783267819336,2026-07-05T23:10:19.336,1
190,86.0,3,1783267820332,2026-07-05T23:10:20.332,1
191,86.0,3,1783267821330,2026-07-05T23:10:21.330,1
192,86.0,3,1783267822329,2026-07-05T23:10:22.329,1
193,86.0,3,1783267823331,2026-07-05T23:10:23.331,1
194,86.0,3,1783267824324,2026-07-05T23:10:24.324,1
195,87.0,3,1783267825329,2026-07-05T23:10:25.329,1
196,87.0,3,1783267826333,2026-07-05T23:10:26.333,1
197,88.0,3,1783267827333,2026-07-05T23:10:27.333,1
198,88.0,3,1783267828329,2026-07-05T23:10:28.329,1
199,88.0,3,1783267829329,2026-07-05T23:10:29.329,1
200,87.0,3,1783267830328,2026-07-05T23:10:30.328,1
201,86.0,3,1783267831328,2026-07-05T23:10:31.328,1
202,86.0,3,1783267832327,2026-07-05T23:10:32.327,1
203,85.0,3,1783267833331,2026-07-05T23:10:33.331,1
204,85.0,3,1783267834328,2026-07-05T23:10:34.328,1
205,84.0,3,1783267835327,2026-07-05T23:10:35.327,1
206,84.0,3,1783267836324,2026-07-05T23:10:36.324,1
207,83.0,3,1783267837327,2026-07-05T23:10:37.327,1
208,83.0,3,1783267838326,2026-07-05T23:10:38.326,1
209,82.0,3,1783267839325,2026-07-05T23:10:39.325,1
210,82.0,3,1783267840327,2026-07-05T23:10:40.327,1
211,82.0,3,1783267841325,2026-07-05T23:10:41.325,1
212,81.0,3,1783267842327,2026-07-05T23:10:42.327,1
213,82.0,3,1783267843326,2026-07-05T23:10:43.326,1
214,82.0,3,1783267844328,2026-07-05T23:10:44.328,1
215,83.0,3,1783267845327,2026-07-05T23:10:45.327,1
216,83.0,3,1783267846325,2026-07-05T23:10:46.325,1
217,82.0,3,1783267847325,2026-07-05T23:10:47.325,1
218,81.0,3,1783267848325,2026-07-05T23:10:48.325,1
219,81.0,3,1783267849326,2026-07-05T23:10:49.326,1
220,82.0,3,1783267850327,2026-07-05T23:10:50.327,1
221,83.0,3,1783267851328,2026-07-05T23:10:51.328,1
222,85.0,3,1783267852328,2026-07-05T23:10:52.328,1
223,86.0,3,1783267853328,2026-07-05T23:10:53.328,1
224,87.0,3,1783267854326,2026-07-05T23:10:54.326,1
225,88.0,3,1783267855328,2026-07-05T23:10:55.328,1
226,89.0,3,1783267856328,2026-07-05T23:10:56.328,1
227,90.0,3,1783267857328,2026-07-05T23:10:57.328,1
228,92.0,3,1783267858327,2026-07-05T23:10:58.327,1
229,93.0,3,1783267859328,2026-07-05T23:10:59.328,1
230,93.0,3,1783267860327,2026-07-05T23:11:00.327,1
231,93.0,3,1783267861328,2026-07-05T23:11:01.328,1
232,94.0,3,1783267862328,2026-07-05T23:11:02.328,1
233,94.0,3,1783267863327,2026-07-05T23:11:03.327,1
234,94.0,3,1783267864325,2026-07-05T23:11:04.325,1
235,95.0,3,1783267865326,2026-07-05T23:11:05.326,1
236,95.0,3,1783267866329,2026-07-05T23:11:06.329,1
237,95.0,3,1783267867324,2026-07-05T23:11:07.324,1
238,95.0,3,1783267868324,2026-07-05T23:11:08.324,1
239,95.0,3,1783267869324,2026-07-05T23:11:09.324,1
240,94.0,3,1783267870326,2026-07-05T23:11:10.326,1
241,93.0,3,1783267871325,2026-07-05T23:11:11.325,1
242,92.0,3,1783267872324,2026-07-05T23:11:12.324,1
243,91.0,3,1783267873325,2026-07-05T23:11:13.325,1
244,90.0,3,1783267874325,2026-07-05T23:11:14.325,1
245,88.0,3,1783267875324,2026-07-05T23:11:15.324,1
246,87.0,3,1783267876324,2026-07-05T23:11:16.324,1
247,86.0,3,1783267877327,2026-07-05T23:11:17.327,1
248,86.0,3,1783267878328,2026-07-05T23:11:18.328,1
249,87.0,3,1783267879327,2026-07-05T23:11:19.327,1
250,88.0,3,1783267880326,2026-07-05T23:11:20.326,1
251,89.0,3,1783267881327,2026-07-05T23:11:21.327,1
252,91.0,3,1783267882328,2026-07-05T23:11:22.328,1
253,93.0,3,1783267883328,2026-07-05T23:11:23.328,1
254,94.0,3,1783267884328,2026-07-05T23:11:24.328,1
255,95.0,3,1783267885328,2026-07-05T23:11:25.328,1
256,97.0,3,1783267886328,2026-07-05T23:11:26.328,1
257,97.0,3,1783267887328,2026-07-05T23:11:27.328,1
258,98.0,3,1783267888328,2026-07-05T23:11:28.328,1
259,99.0,3,1783267889328,2026-07-05T23:11:29.328,1
260,98.0,3,1783267890328,2026-07-05T23:11:30.328,1
261,99.0,3,1783267891328,2026-07-05T23:11:31.328,1
262,98.0,3,1783267892328,2026-07-05T23:11:32.328,1
263,97.0,3,1783267893328,2026-07-05T23:11:33.328,1
264,96.0,3,1783267894325,2026-07-05T23:11:34.325,1
265,95.0,3,1783267895326,2026-07-05T23:11:35.326,1
266,95.0,3,1783267896325,2026-07-05T23:11:36.325,1
267,95.0,3,1783267897329,2026-07-05T23:11:37.329,1
268,95.0,3,1783267898330,2026-07-05T23:11:38.330,1
269,94.0,3,1783267899325,2026-07-05T23:11:39.325,1
270,94.0,3,1783267900325,2026-07-05T23:11:40.325,1
271,93.0,3,1783267901325,2026-07-05T23:11:41.325,1
272,92.0,3,1783267902326,2026-07-05T23:11:42.326,1
273,91.0,3,1783267903325,2026-07-05T23:11:43.325,1
274,90.0,3,1783267904326,2026-07-05T23:11:44.326,1
275,90.0,3,1783267905327,2026-07-05T23:11:45.327,1
276,90.0,3,1783267906325,2026-07-05T23:11:46.325,1
277,91.0,3,1783267907326,2026-07-05T23:11:47.326,1
278,91.0,3,1783267908325,2026-07-05T23:11:48.325,1
279,92.0,3,1783267909325,2026-07-05T23:11:49.325,1
280,91.0,3,1783267910325,2026-07-05T23:11:50.325,1
